,species,scenario,julian,hour,Tpref_mean,Rabs_sun,Rabs_shade,Te_sun,Te_shade,Tb_sun,Tb_shade,activity_status_5C,activity_status_25C,activity_status_skewed_5C,activity_status_skewed_10C,ro,rcm,growth_k,growth_linf
106,Podarcis hispanicus,hispanicus_lowland_central_mexico,1.0,0.0,35,250.25260719257173,249.10264723421815,15.594202338458235,15.000696050086368,12.746136508476685,12.312183995442386,[0.0],[0.0],[0.0],[0.0],,,,
107,Podarcis hispanicus,hispanicus_lowland_central_mexico,1.0,60.0,35,400.1558654706022,253.43471680107731,23.08822991757627,23.939519508728413,20.307939159676657,20.81371391136806,[0.0],[0.0],[0.0],[0.0],,,,
108,Sceloporus undulatus,undulatus_southcarolina,1.0,0.0,35,255.33838119246477,247.32381307427383,17.238186359801453,15.670433438283197,13.477378252632985,12.391397525453053,[0.0],[0.0],[0.0],[0.0],,0.23,,
109,Sceloporus undulatus,undulatus_southcarolina,1.0,60.0,35,446.26019890648536,255.78220133712566,27.219984966758265,27.551202143613423,22.996866832696064,22.892577537410542,[0.0],[0.0],[0.0],[0.0],,0.23,,
110,Sceloporus undulatus,undulatus_texas,1.0,0.0,35,248.5050598413802,242.53083282388812,15.121632280154076,13.981059302208356,12.400608637241453,11.566658736834597,[0.0],[0.0],[0.0],[0.0],,0.27,,
111,Sceloporus undulatus,undulatus_texas,1.0,60.0,35,462.25512150375704,252.0242108661857,26.06926003709249,26.80042528407151,22.39468240017806,22.705093839664197,[0.0],[0.0],[0.0],[0.0],,0.27,,
112,Sceloporus undulatus,undulatus_ohio,1.0,0.0,35,217.1685138764663,212.62084292426456,9.25754703384538,6.925975836058466,7.657464437459721,6.2021504991124905,[0.0],[0.0],[0.0],[0.0],,0.25,,
113,Sceloporus undulatus,undulatus_ohio,1.0,60.0,35,376.6574559863536,222.47218360670595,18.386419620012195,17.943659609824703,14.354235282755758,13.53093457496216,[0.0],[0.0],[0.0],[0.0],,0.25,,
114,Sceloporus undulatus,undulatus_colorado,1.0,0.0,35,203.2950942436045,198.18571751463597,2.9412612483291802,1.7751294339591261,3.573193106730347,2.7650065848348877,[0.0],[0.0],[0.0],[0.0],,0.23,,
115,Sceloporus undulatus,undulatus_colorado,1.0,60.0,35,372.8808714390937,206.78774708035218,12.625717060299035,13.45886285828928,9.469976368428666,9.730948127740627,[0.0],[0.0],[0.0],[0.0],,0.23,,
116,Sceloporus undulatus consobrinus,undulatus_consobrinus_newmexico,1.0,0.0,35,228.41444738704317,224.7158024259798,10.622521456809412,9.845126287626996,8.713688291691797,8.200217003055974,[0.0],[0.0],[0.0],[0.0],,0.29600000000000004,,
117,Sceloporus undulatus consobrinus,undulatus_consobrinus_newmexico,1.0,60.0,35,430.70570599656503,235.10669895942746,21.81696805192415,23.245110122759773,17.368434565608325,18.137403345089773,[0.0],[0.0],[0.0],[0.0],,0.29600000000000004,,
118,Sceloporus undulatus tristichus,undulatus_tristichus_newmexico,1.0,0.0,35,215.86455519625915,212.33255603990006,6.5455351796695,5.7869731791157735,6.067733177076236,5.543680521714657,[0.0],[0.0],[0.0],[0.0],,0.299,,
119,Sceloporus undulatus tristichus,undulatus_tristichus_newmexico,1.0,60.0,35,421.2276632208817,221.95165880132654,17.653693360424484,19.017794839898922,14.071895255541877,14.852274126371249,[0.0],[0.0],[0.0],[0.0],,0.299,,
